CustomerID,Age,Gender,Annual_Income,Spending_Score,Location,Loyalty_Status,Preferred_Shopping_Channel
1,56,Female,103992,36,CityB,1,Online
2,69,Male,87850,78,CityD,1,Online
3,46,Male,80873,35,CityB,1,Online
4,32,Other,31167,79,CityC,0,Online
5,60,Other,41115,95,CityA,1,In-store
6,25,Other,104227,2,CityE,0,In-store
7,38,Female,115368,97,CityE,1,Online
8,56,Other,88394,64,CityD,1,Online
9,36,Other,98143,8,CityA,0,In-store
10,40,Male,43579,70,CityB,1,Online
11,28,Male,69328,7,CityA,0,Online
12,28,Other,77713,49,CityA,1,Online
13,41,Male,100814,33,CityD,0,Online
14,53,Male,60735,20,CityA,0,Online
15,57,Other,74068,55,CityD,1,In-store
16,41,Other,109509,85,CityA,0,In-store
17,20,Other,56779,40,CityC,1,Online
18,39,Other,62549,19,CityD,1,Online
19,19,Other,105456,33,CityA,1,Online
20,41,Male,51606,47,CityA,1,In-store
21,61,Female,91622,15,CityA,0,In-store
22,47,Male,74541,92,CityC,0,Online
23,55,Other,60298,91,CityB,1,Online
24,19,Female,111322,19,CityD,1,In-store
25,38,Female,63465,62,CityE,0,In-store
26,50,Female,67988,65,CityC,0,In-store
27,29,Male,116691,29,CityC,1,Online
28,39,Other,29178,91,CityA,1,Online
29,61,Male,91103,80,CityD,1,In-store
30,42,Female,30216,66,CityC,0,In-store
31,66,Male,63048,72,CityA,0,Online
32,44,Other,100517,91,CityD,0,In-store
33,59,Male,87776,32,CityD,1,Online
34,45,Female,26688,2,CityE,0,In-store
35,33,Female,76713,68,CityC,0,In-store
36,32,Male,61393,52,CityA,1,In-store
37,64,Other,47601,7,CityC,1,In-store
38,68,Other,30665,64,CityC,1,Online
39,61,Other,53854,1,CityE,0,In-store
40,69,Male,99695,48,CityC,1,Online
41,20,Female,77482,86,CityD,1,In-store
42,54,Male,29426,8,CityA,0,In-store
43,68,Female,104571,37,CityA,1,Online
44,24,Male,97696,15,CityD,1,Online
45,38,Female,118533,75,CityC,1,In-store
46,26,Other,56503,27,CityD,0,Online
47,56,Male,46462,39,CityA,1,Online
48,35,Other,67774,42,CityB,0,In-store
49,21,Male,93082,29,CityD,1,Online
50,42,Other,83806,82,CityC,1,Online
51,31,Female,108650,86,CityA,0,In-store
52,67,Female,72236,90,CityC,1,Online
53,26,Female,94021,2,CityD,0,Online
54,43,Female,106339,56,CityE,1,Online
55,19,Male,32696,56,CityE,1,In-store
56,37,Female,95433,34,CityD,0,In-store
57,45,Other,84103,77,CityC,1,Online
58,64,Other,48845,98,CityB,0,Online
59,24,Male,71717,69,CityC,1,Online
60,61,Male,85495,31,CityD,1,In-store
61,25,Female,74307,25,CityE,0,In-store
62,64,Male,104698,53,CityD,0,In-store
63,52,Female,62056,69,CityA,1,In-store
64,31,Male,49646,67,CityB,0,In-store
65,34,Female,91185,50,CityA,0,In-store
66,53,Other,99742,71,CityC,1,Online
67,67,Female,31058,3,CityB,1,Online
68,57,Other,103318,57,CityE,0,In-store
69,21,Other,74185,28,CityA,0,Online
70,19,Male,107629,4,CityD,1,Online
71,23,Other,66620,7,CityB,1,Online
72,59,Female,52129,94,CityE,0,In-store
73,21,Male,72551,10,CityA,1,Online
74,46,Male,86040,9,CityA,1,Online
75,35,Female,112246,13,CityA,1,In-store
76,43,Male,32571,55,CityE,1,In-store
77,61,Female,41217,82,CityD,1,In-store
78,51,Other,103126,98,CityC,1,Online
79,27,Male,77859,32,CityB,1,Online
80,53,Other,34487,86,CityE,0,Online
81,31,Male,21415,41,CityD,0,In-store
82,48,Female,95712,52,CityA,1,Online
83,65,Female,106095,17,CityB,0,Online
84,32,Female,85310,45,CityD,1,Online
85,25,Female,100791,31,CityC,1,In-store
86,31,Male,41308,12,CityC,1,In-store
87,40,Other,77369,19,CityB,1,In-store
88,57,Other,115819,22,CityD,1,In-store
89,38,Male,87435,36,CityD,0,Online
90,33,Male,47518,60,CityA,1,In-store
91,62,Other,114643,26,CityE,0,Online
92,35,Other,21580,22,CityA,1,Online
93,64,Male,75569,47,CityC,0,Online
94,41,Male,86681,38,CityB,0,Online
95,43,Male,27479,35,CityB,0,In-store
96,42,Male,36206,32,CityD,1,Online
97,62,Male,95939,8,CityA,1,Online
98,58,Other,100729,48,CityC,1,In-store
99,46,Other,104773,19,CityA,0,In-store
100,32,Female,59753,43,CityA,0,In-store
101,62,Female,66487,90,CityB,1,In-store
102,18,Other,104628,72,CityD,1,Online
103,42,Other,52940,21,CityE,1,Online
104,24,Female,82853,37,CityC,0,In-store
105,26,Female,41870,25,CityA,1,Online
106,41,Female,116429,14,CityA,1,Online
107,18,Male,33237,62,CityA,1,In-store
108,61,Female,51008,2,CityB,1,Online
109,25,Male,22452,71,CityB,1,In-store
110,41,Male,75231,44,CityE,1,Online
111,28,Female,58193,75,CityC,0,In-store
112,68,Other,44200,77,CityB,0,Online
113,34,Female,75927,49,CityE,0,Online
114,25,Female,60699,14,CityD,0,Online
115,52,Female,60051,54,CityA,0,In-store
116,52,Female,29265,15,CityB,0,Online
117,50,Female,32315,49,CityC,1,Online
118,22,Male,78964,67,CityC,0,In-store
119,59,Female,44440,96,CityD,0,In-store
120,56,Other,114358,32,CityB,0,In-store
121,58,Other,71766,7,CityD,1,In-store
122,45,Male,37020,31,CityD,1,Online
123,24,Male,73093,51,CityC,1,In-store
124,26,Female,37934,13,CityD,0,In-store
125,25,Female,36986,92,CityC,0,Online
126,29,Male,32104,31,CityD,0,Online
127,51,Other,72932,86,CityE,1,Online
128,50,Female,115359,93,CityA,1,Online
129,65,Other,119160,86,CityD,0,In-store
130,40,Male,100507,97,CityC,0,Online
131,41,Other,106478,95,CityA,1,Online
132,54,Other,56581,13,CityE,1,In-store
133,52,Other,61111,80,CityA,1,Online
134,61,Female,37997,37,CityB,1,Online
135,57,Male,103742,74,CityC,0,In-store
136,39,Female,105097,67,CityA,0,In-store
137,44,Other,42955,18,CityB,1,Online
138,52,Female,82228,8,CityD,0,In-store
139,18,Female,119500,40,CityD,1,Online
140,52,Female,56436,6,CityA,1,Online
141,54,Male,75930,76,CityB,1,In-store
142,64,Male,102720,62,CityA,0,Online
143,31,Other,28416,88,CityA,1,Online
144,20,Female,84611,9,CityE,0,In-store
145,18,Other,40412,94,CityC,1,Online
146,22,Female,84879,83,CityD,0,In-store
147,43,Other,114863,73,CityA,1,In-store
148,31,Male,66218,11,CityD,0,Online
149,56,Other,118616,91,CityD,1,In-store
150,44,Male,67523,91,CityD,1,In-store
151,26,Female,69396,29,CityA,0,Online
152,32,Female,43790,7,CityA,0,In-store
153,32,Female,55545,15,CityE,0,In-store
154,43,Other,49092,99,CityD,0,Online
155,59,Other,24363,75,CityA,1,Online
156,30,Other,97101,87,CityD,1,In-store
157,68,Male,53323,4,CityB,0,In-store
158,49,Female,96355,3,CityA,0,Online
159,56,Female,42779,46,CityE,0,In-store
160,66,Male,84352,84,CityE,0,Online
161,69,Male,103699,16,CityB,0,Online
162,49,Female,60484,55,CityB,1,In-store
163,21,Female,45110,2,CityE,0,Online
164,47,Male,50431,16,CityB,1,In-store
165,54,Male,51850,31,CityD,0,In-store
166,40,Female,89756,66,CityC,1,Online
167,56,Female,74961,59,CityE,0,Online
168,62,Male,62707,86,CityC,0,Online
169,32,Female,74894,93,CityC,1,In-store
170,60,Male,108561,55,CityB,1,In-store
171,46,Female,46566,74,CityC,1,In-store
172,53,Other,112455,42,CityD,0,Online
173,30,Other,95679,89,CityB,0,Online
174,49,Female,106315,56,CityE,0,Online
175,24,Male,23888,54,CityB,0,Online
176,68,Other,80057,47,CityA,0,In-store
177,39,Male,26195,45,CityD,1,Online
178,45,Other,42871,94,CityE,1,Online
179,19,Other,21058,60,CityD,1,In-store
180,59,Other,93466,65,CityD,0,Online
181,62,Female,53751,2,CityD,1,In-store
182,23,Female,95155,22,CityA,0,Online
183,45,Male,73044,48,CityB,0,Online
184,45,Female,56075,10,CityA,1,Online
185,61,Male,97135,23,CityC,0,In-store
186,61,Other,58034,88,CityC,0,Online
187,37,Female,85096,84,CityD,1,In-store
188,47,Other,60053,99,CityA,0,In-store
189,28,Male,72816,55,CityD,1,Online
190,45,Female,35426,4,CityB,1,In-store
191,42,Female,52559,64,CityE,0,Online
192,56,Other,70791,99,CityC,1,Online
